id;sample_id;analysis_service_id;result;date_resulted
1;clicks-and-mortar port Metrics;invoice Turnpike mobile;Cheese Licensed;2023-04-11
2;Tactics monitor Associate;teal virtual Keyboard;convergence;2023-04-12
3;Incredible Wooden Borders;integrate Avon back-end;deposit Bedfordshire navigating;2023-04-11
4;improvement Response Benin;invoice parse;navigate value-added parse;2023-04-12
5;Loan deposit;blockchains;digital Refined Dynamic;2023-04-12
6;B2C application Tactics;override Algeria;Functionality;2023-04-11
7;Multi-lateral Bedfordshire interface;Michigan Directives;Tools Facilitator;2023-04-12
8;revolutionary indexing Pennsylvania;Minnesota Coordinator;invoice rich index;2023-04-11
9;Manager repurpose Innovative;Down-sized to;coherent;2023-04-12
10;connect interfaces;engage deposit Loan;invoice;2023-04-11
