id;name;code;status;description;class_id
1;Streamlined Netherlands;hack Club;definition;definition parse;invoice virtual
2;European;Home Frozen;help-desk;e-business New;South Thailand
3;Agent;Guinea-Bissau Fish;frame;Azerbaijan lavender;Card United e-commerce
4;New;Borders;synthesize;Liberian;Awesome North Decentralized
5;Investor;Representative Intelligent 24/365;Uzbekistan FTP;magenta;Developer
6;York;Ball Loan Fresh;Trinidad Auto Organic;teal Configuration Bedfordshire;dynamic
7;Kuwaiti Towels Tennessee;Metal Rustic;24/7 Personal;sensor;Malaysia
8;East Connecticut Nebraska;AI Island Buckinghamshire;Market SDD;Fantastic upward-trending;generate Developer Rustic
9;Applications THX Handmade;sensor Account Tools;ivory Money;Trail open-source Strategist;Account Ball
10;Officer initiatives;withdrawal;Republic;PCI;Officer Designer compress
