id;name;code;description
1;California override Frozen;vortals;lime Sports Dong
2;Credit;purple Plastic Isle;Money
3;Rubber parse;Gloves collaborative;optimize
4;transform Myanmar;matrix wireless program;Rustic Account Jewelery
5;Chair invoice;Nevada;Customer Clothing
6;e-markets Rustic AI;bypassing Supervisor Texas;Parkway
7;Computers Refined;Pa'anga lavender;time-frame District Reunion
8;navigating;salmon Principal;Internal generating
9;lime;Checking;green Naira
10;Credit Automotive;Function-based optical;Gorgeous transmit
