id;record_id;demographic_coding_id;value
1;Supervisor;SCSI Functionality;calculating
2;Refined Wooden copy;Soft;Tools Mission Forges
3;Dynamic B2C;Dinar;Mobility panel
4;Computer;Hills override;Berkshire
5;Gibraltar;calculating deposit Grocery;generation wireless
6;Handcrafted Metal;collaborative;Tobago Assimilated
7;Kiribati;Realigned Refined;Ghana Principal Colombia
8;Account strategize;Creative transmit sensor;haptic
9;bypassing;indigo parse azure;West Bike
10;transmit Ergonomic niches;connect payment;functionalities Infrastructure Pennsylvania
