id;name;country_id;longitude;latitude
1;International Place as;application;USB;Identity
2;value-added facilitate payment;Naira;navigate IB;THX
3;matrix;incentivize hierarchy;Gloves applications bypassing;Unions Won
4;repurpose Fresh eyeballs;Pants;Representative;Account Louisiana
5;Architect Investment Territory;invoice;uniform;Slovenia Sausages
6;parallelism Granite;Industrial;impactful Rubber;initiatives contingency
7;Markets Creative;Centralized disintermediate;Central Frozen Unbranded;neural Cove Up-sized
8;Virginia;paradigm facilitate Alaska;Corporate JBOD Handcrafted;Locks
9;initiatives fresh-thinking;Cotton Operations deposit;metrics proactive bandwidth;open-source Table Principal
10;compress magenta strategize;violet haptic;brand;synthesizing
